S.No.,Towns,Default_Rate,Avg_Income,Unemployment_Rate,Economic_Growth,Credit_Risk
1,Agra,0.1872033759818311,53612.595289543664,2.1652079957258294,1.657413996455638,0.5682635009061053
2,Ahmadabad,0.2287973415931048,36154.08163203092,8.067029230689132,1.2768716021059898,1.7832494906655008
3,Ajmer,0.2006908440179109,72637.45057584925,4.560137206579743,2.5079931724047126,1.03218042586349
4,Allahabad,0.1862207957492242,47356.26893088137,5.067711153375184,2.310590746198391,1.1313158593054806
5,Almora,0.1559136998347262,67320.4336235564,6.706536908428846,3.2807028340023985,1.4341585913105952
6,Ambala,0.211473528266664,59973.96376587522,8.648387641889524,4.416406677738403,1.8369147841695321
7,Amritsar,0.1593968028156731,39871.84754275668,7.03185474872919,4.478127228194285,1.4924679584654816
8,Asansol,0.2729432501955199,65689.89098512387,8.981205243579161,2.417594232910833,1.946786349916994
9,Aurangabad,0.2909156901252573,44825.28704234923,4.188336278525086,2.8996347795006026,0.9885273262669566
10,Bahraich,0.1458603797064444,69055.15985555807,8.38437467130051,1.9057548086845153,1.7876960778396884
11,Bangalore,0.2479312595206661,54063.64363179293,3.4850875544476176,4.942727561532593,0.816427307979064
12,Baruani,0.1822237299382261,69086.76809274264,9.622333255775557,1.2842403821662014,2.075227527670169
13,Bareilly,0.1920111402734831,59626.57950388829,7.499906211102522,4.484986208624937,1.5990873422409146
14,Belgaum,0.2813991595731652,61262.713990982025,3.724061416908467,4.893476979705516,0.8778122115651587
15,Bhatinda,0.0677590145494717,50066.21909633512,9.578964723911394,4.887037809243766,1.963364835757379
16,Bhilai,0.0717823249253851,72804.1817361612,7.846846454161263,2.297112821726775,1.6416192489512331
17,Bhopal,0.0550545993600814,57199.509961481876,4.031533140760207,2.8690656896628073,0.8631882649500734
18,Bhubaneswar,0.2581549613869845,46192.752427908985,3.706495818939856,3.937998175981945,0.8699612554425865
19,Bhuj,0.2445391877374626,55319.660706396215,6.145605711445306,2.364109512122335,1.3692414653355482
20,Bijapur,0.2675030370617048,25959.659915466676,2.2053017444362526,2.8542639960894434,0.5831084217215576
21,Bikaner,0.294654585558191,40078.74083372747,3.6597606035288752,1.9852714009281984,0.9001923869338492
22,Bokaro,0.2497896410541809,58008.67687463425,5.39748375001205,3.2992794187800367,1.2097274267198292
23,Bulandshahar,0.1653698405632329,39503.880360522206,4.993359842673804,1.2230615062705703,1.1465895358452842
24,Burdwan,0.2451322940716138,55900.77144994208,5.708603394918486,4.99897942285309,1.2597830464065967
25,Calicut,0.0795686064672333,46438.43504728831,4.221029650357855,1.3847822349331635,0.9482533531003443
26,Chandigarh,0.2099802553318809,31773.703211122513,6.69427477166535,3.59417574415763,1.450679289083711
27,Chennai,0.0858383218522616,39914.116297801535,8.910844847385851,2.534050497725981,1.855974327076063
28,Chitradurga,0.2861672292623959,53498.245535063244,2.9402548476962647,3.887714744156878,0.7282455206962992
29,Coimbtore,0.1804620804375179,54543.63806240866,6.139032857232913,5.797166704167125,1.3172467096328564
30,Cuddalore,0.1536654849976308,53716.26244247894,3.0565448507612265,4.2278512222800195,0.6964334262024305
31,Cuttuck,0.1161389030261567,57660.04099285668,7.734877449540749,1.1768121787774546,1.6784115812756562
32,Darbhanga,0.2435584223585541,57605.16350008444,5.16847762245835,3.152012197540306,1.1628498668547738
33,Darjeeling,0.1640375830541371,46570.9217716987,6.523370494868072,3.550084261591251,1.3984639194734112
34,Dharwad,0.1921084872171621,69827.32979255315,3.466238689712629,3.68088747351726,0.7972627904692591
35,Dehradun,0.0546974501090887,43378.093502394826,3.158782074747018,4.40696255301919,0.6763336768721091
36,Dharampuri,0.2044088742689692,46793.24626328134,5.9044502451916365,2.3879804886588305,1.3045363989830185
37,Delhi,0.2030239306806053,69596.16775078361,4.844901902799645,1.644302827331601,1.1110103116128875
38,Durgapur,0.2042334992186892,65309.69945230429,9.523455562022503,2.963378382735472,2.020134374362869
39,Gangtok,0.285937019628656,60194.42917701832,8.122602030455722,5.782028613979744,1.7561951658177837
40,Guwahati,0.2204550747758708,30011.344365615056,7.989308958804378,1.9356544587542237,1.7377159312129942
41,Goa,0.1398769751434465,70974.13068723367,9.229757917967468,5.519919774641185,1.9200228058653765
42,Gulbarga,0.1592579884498353,60712.06497745557,2.6673794835361484,3.719029750386632,0.6240727669882782
