S.No.,Towns,Zone,"Zone Factor, Z"
1,Agra,III,0.16
2,Ahmadabad,III,0.16
3,Ajmer,II,0.1
4,Allahabad,II,0.1
5,Almora,IV,0.24
6,Ambala,IV,0.24
7,Amritsar,IV,0.24
8,Asansol,III,0.16
9,Aurangabad,II,0.1
10,Bahraich,IV,0.24
11,Bangalore,II,0.1
12,Baruani,IV,0.24
13,Bareilly,III,0.16
14,Belgaum,III,0.16
15,Bhatinda,III,0.16
16,Bhilai,II,0.1
17,Bhopal,II,0.1
18,Bhubaneswar,III,0.16
19,Bhuj,V,0.36
20,Bijapur,III,0.16
21,Bikaner,III,0.16
22,Bokaro,III,0.16
23,Bulandshahar,IV,0.24
24,Burdwan,III,0.16
25,Calicut,III,0.16
26,Chandigarh,IV,0.24
27,Chennai,III,0.16
28,Chitradurga,II,0.1
29,Coimbtore,III,0.16
30,Cuddalore,III,0.16
31,Cuttuck,III,0.16
32,Darbhanga,V,0.36
33,Darjeeling,IV,0.24
34,Dharwad,III,0.16
35,Dehradun,IV,0.24
36,Dharampuri,III,0.16
37,Delhi,IV,0.24
38,Durgapur,III,0.16
39,Gangtok,IV,0.24
40,Guwahati,V,0.36
41,Goa,III,0.16
42,Gulbarga,II,0.1
43,Gaya,III,0.16
44,Gorakhpur,IV,0.24
45,Hyderabad,II,0.1
46,Imphal,V,0.36
47,Jabalpur,III,0.16
48,Jaipur,II,0.1
49,Jamshedpur,II,0.1
50,Jhansi,II,0.1
51,Jodhpur,II,0.1
52,Jorhat,V,0.36
53,Kakrapara,III,0.16
54,Kalapakkam,III,0.16
55,Kanchipuram,III,0.16
56,Kanpur,III,0.16
57,Karwar,III,0.16
58,Kohima,V,0.36
59,Kolkata,III,0.16
60,Kota,II,0.1
61,Kurnool,II,0.1
62,Lucknow,III,0.16
63,Ludhiana,IV,0.24
64,Madurai,II,0.1
65,Mandi,V,0.36
66,Mangalore,III,0.16
67,Monghyr,IV,0.24
68,Moradabad,IV,0.24
69,Mumbai,III,0.16
70,Mysore,II,0.1
71,Nagpur,II,0.1
72,Nagarjunasagar,II,0.1
73,Nainital,IV,0.24
74,Nasik,III,0.16
75,Nellore,III,0.16
76,Osmanabad,III,0.16
77,Panjim,III,0.16
78,Patiala,III,0.16
79,Patna,IV,0.24
80,Pilibhit,IV,0.24
81,Pondicherry,II,0.1
82,Pune,III,0.16
83,Raipur,II,0.1
84,Rajkot,III,0.16
85,Ranchi,II,0.1
86,Roorkee,IV,0.24
87,Rourkela,II,0.1
88,Sadiya,V,0.36
89,Salem,III,0.16
90,Simla,IV,0.24
91,Sironj,II,0.1
92,Solapur,III,0.16
93,Srinagar,V,0.36
94,Surat,III,0.16
95,Tarapur,III,0.16
96,Tezpur,V,0.36
97,Thane,III,0.16
98,Thanjavur,II,0.1
99,Thiruvananthapuram,III,0.16
100,Tiruchirappali,II,0.1
101,Trivennamalai,III,0.16
102,Udaipur,II,0.1
103,Vadodara,III,0.16
104,Varanasi,III,0.16
105,Vellore,III,0.16
106,Vijaywada,III,0.16
107,Vishakhapatnam,II,0.1
